indicator,type,event_type,severity,confidence,status,first_seen,last_seen,hits,asn,as_name,country,malware_family
45.142.193.164,ip,ssh-post-auth,high,90,active,2026-09-13,2026-09-13,33273,213388,"IIC-AS - IIC RAIL LIMITED, GB",RO,
109.160.32.25,ip,ssh-post-auth,high,90,active,2026-09-22,2026-09-22,17620,197170,"TECHTIES-AS - TechTies Inc., SC",BG,
109.160.32.40,ip,ssh-post-auth,high,90,active,2026-09-23,2026-09-23,9932,197170,"TECHTIES-AS - TechTies Inc., SC",BG,
109.160.32.18,ip,ssh-post-auth,high,90,active,2026-09-24,2026-09-24,9052,197170,"TECHTIES-AS - TechTies Inc., SC",BG,
109.160.32.103,ip,ssh-post-auth,high,90,active,2026-09-24,2026-09-24,8158,197170,"TECHTIES-AS - TechTies Inc., SC",BG,
109.160.32.28,ip,ssh-post-auth,high,90,active,2026-09-14,2026-09-14,3959,197170,"TECHTIES-AS - TechTies Inc., SC",BG,
195.178.110.218,ip,ssh-post-auth,high,90,active,2026-09-24,2026-09-24,2676,48090,"DMZHOST - TECHOFF SRV LIMITED, GB",BG,
109.160.32.80,ip,ssh-post-auth,high,90,active,2026-09-24,2026-09-24,2568,197170,"TECHTIES-AS - TechTies Inc., SC",BG,
109.160.32.38,ip,ssh-post-auth,high,90,active,2026-09-11,2026-09-11,2427,197170,"TECHTIES-AS - TechTies Inc., SC",BG,
109.160.32.10,ip,ssh-post-auth,high,90,active,2026-09-12,2026-09-12,2107,197170,"TECHTIES-AS - TechTies Inc., SC",BG,
109.160.32.41,ip,ssh-post-auth,high,90,active,2026-09-14,2026-09-14,2060,197170,"TECHTIES-AS - TechTies Inc., SC",BG,
45.148.10.183,ip,ssh-post-auth,high,90,active,2026-09-24,2026-09-24,1642,48090,"DMZHOST - TECHOFF SRV LIMITED, GB",RO,
109.160.32.39,ip,ssh-post-auth,high,90,active,2026-09-10,2026-09-10,1501,197170,"TECHTIES-AS - TechTies Inc., SC",BG,
109.160.32.83,ip,ssh-bruteforce,medium,60,active,2026-09-14,2026-09-14,1393,197170,"TECHTIES-AS - TechTies Inc., SC",BG,
109.160.32.104,ip,ssh-bruteforce,medium,60,active,2026-09-11,2026-09-11,1001,197170,"TECHTIES-AS - TechTies Inc., SC",BG,
109.160.32.120,ip,ssh-bruteforce,medium,60,active,2026-09-11,2026-09-11,1001,197170,"TECHTIES-AS - TechTies Inc., SC",BG,
109.160.32.16,ip,ssh-bruteforce,medium,60,active,2026-09-10,2026-09-10,1001,197170,"TECHTIES-AS - TechTies Inc., SC",BG,
109.160.32.20,ip,ssh-bruteforce,medium,60,active,2026-09-10,2026-09-10,1001,197170,"TECHTIES-AS - TechTies Inc., SC",BG,
109.160.32.43,ip,ssh-bruteforce,medium,60,active,2026-09-11,2026-09-11,1001,197170,"TECHTIES-AS - TechTies Inc., SC",BG,
109.160.32.46,ip,ssh-bruteforce,medium,60,active,2026-09-10,2026-09-10,1001,197170,"TECHTIES-AS - TechTies Inc., SC",BG,
92.118.39.77,ip,ssh-post-auth,high,90,active,2026-09-23,2026-09-24,956,47890,"UNMANAGED-DEDICATED-SERVERS - UNMANAGED LTD, GB",RO,
195.178.110.217,ip,ssh-post-auth,high,90,active,2026-09-23,2026-09-23,948,48090,"DMZHOST - TECHOFF SRV LIMITED, GB",BG,
109.160.32.36,ip,ssh-bruteforce,medium,60,active,2026-09-10,2026-09-10,933,197170,"TECHTIES-AS - TechTies Inc., SC",BG,
2.57.122.74,ip,ssh-post-auth,high,90,active,2026-09-24,2026-09-24,906,47890,"UNMANAGED-DEDICATED-SERVERS - UNMANAGED LTD, GB",RO,
193.32.162.84,ip,ssh-post-auth,high,90,active,2026-09-24,2026-09-24,822,47890,"UNMANAGED-DEDICATED-SERVERS - UNMANAGED LTD, GB",RO,
