type,value,category,source,first_seen,last_seen,hits,detail
ip,45.142.193.164,ssh-post-auth,ssh,2026-09-13,2026-09-13,33273,ssh-post-auth
ip,109.160.32.25,ssh-post-auth,ssh,2026-09-22,2026-09-22,17620,ssh-post-auth
ip,109.160.32.40,ssh-post-auth,ssh,2026-09-23,2026-09-23,9932,ssh-post-auth
ip,109.160.32.18,ssh-post-auth,ssh,2026-09-24,2026-09-24,9052,ssh-post-auth
ip,109.160.32.103,ssh-post-auth,ssh,2026-09-24,2026-09-24,8158,ssh-post-auth
ip,109.160.32.28,ssh-post-auth,ssh,2026-09-14,2026-09-14,3959,ssh-post-auth
ip,195.178.110.218,ssh-post-auth,ssh,2026-09-24,2026-09-24,2676,ssh-post-auth
ip,109.160.32.80,ssh-post-auth,ssh,2026-09-24,2026-09-24,2568,ssh-post-auth
ip,109.160.32.38,ssh-post-auth,ssh,2026-09-11,2026-09-11,2427,ssh-post-auth
ip,109.160.32.10,ssh-post-auth,ssh,2026-09-12,2026-09-12,2107,ssh-post-auth
ip,109.160.32.41,ssh-post-auth,ssh,2026-09-14,2026-09-14,2060,ssh-post-auth
ip,45.148.10.183,ssh-post-auth,ssh,2026-09-24,2026-09-24,1642,ssh-post-auth
ip,109.160.32.39,ssh-post-auth,ssh,2026-09-10,2026-09-10,1501,ssh-post-auth
ip,109.160.32.83,ssh-bruteforce,ssh,2026-09-14,2026-09-14,1393,ssh-bruteforce
ip,109.160.32.104,ssh-bruteforce,ssh,2026-09-11,2026-09-11,1001,ssh-bruteforce
ip,109.160.32.120,ssh-bruteforce,ssh,2026-09-11,2026-09-11,1001,ssh-bruteforce
ip,109.160.32.16,ssh-bruteforce,ssh,2026-09-10,2026-09-10,1001,ssh-bruteforce
ip,109.160.32.20,ssh-bruteforce,ssh,2026-09-10,2026-09-10,1001,ssh-bruteforce
ip,109.160.32.43,ssh-bruteforce,ssh,2026-09-11,2026-09-11,1001,ssh-bruteforce
ip,109.160.32.46,ssh-bruteforce,ssh,2026-09-10,2026-09-10,1001,ssh-bruteforce
ip,92.118.39.77,ssh-post-auth,ssh,2026-09-23,2026-09-24,956,ssh-post-auth
ip,195.178.110.217,ssh-post-auth,ssh,2026-09-23,2026-09-23,948,ssh-post-auth
ip,109.160.32.36,ssh-bruteforce,ssh,2026-09-10,2026-09-10,933,ssh-bruteforce
ip,2.57.122.74,ssh-post-auth,ssh,2026-09-24,2026-09-24,906,ssh-post-auth
ip,193.32.162.84,ssh-post-auth,ssh,2026-09-24,2026-09-24,822,ssh-post-auth
ip,2.57.122.150,ssh-post-auth,ssh,2026-09-23,2026-09-23,764,ssh-post-auth
ip,80.94.92.55,ssh-post-auth,ssh,2026-09-23,2026-09-23,748,ssh-post-auth
ip,92.118.39.14,ssh-post-auth,ssh,2026-09-24,2026-09-24,744,ssh-post-auth
ip,154.18.197.29,ssh-post-auth,ssh,2026-09-23,2026-09-23,596,ssh-post-auth
ip,2.57.122.238,ssh-post-auth,ssh,2026-09-23,2026-09-23,575,ssh-post-auth
ip,195.178.110.228,ssh-post-auth,ssh,2026-09-23,2026-09-23,530,ssh-post-auth
ip,102.220.161.139,http-scan,ssh,2026-09-24,2026-09-24,514,http-scan
ip,92.118.39.71,ssh-post-auth,ssh,2026-09-23,2026-09-23,506,ssh-post-auth
ip,2.57.122.168,ssh-malware-drop,ssh,2026-09-23,2026-09-23,465,ssh-malware-drop
ip,195.178.110.232,ssh-post-auth,ssh,2026-09-14,2026-09-14,444,ssh-post-auth
ip,195.178.110.227,ssh-post-auth,ssh,2026-09-22,2026-09-22,379,ssh-post-auth
ip,80.94.92.234,ssh-post-auth,ssh,2026-09-23,2026-09-23,336,ssh-post-auth
ip,45.148.10.240,ssh-bruteforce,ssh,2026-09-14,2026-09-14,331,ssh-bruteforce
ip,109.160.32.73,ssh-post-auth,ssh,2026-09-24,2026-09-24,320,ssh-post-auth
ip,62.171.133.1,ssh-post-auth,ssh,2026-09-24,2026-09-24,314,ssh-post-auth
ip,171.243.149.238,ssh-post-auth,ssh,2026-09-24,2026-09-24,290,ssh-post-auth
ip,27.79.40.50,ssh-post-auth,ssh,2026-09-24,2026-09-24,284,ssh-post-auth
